County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Allegheny,06/20/2021,0,0.4,2027,1216045,0,0.04,166.69,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/12/2021,1,0.7,2036,1216045,0.08,0.06,167.43,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/06/2021,4,2.9,1873,1216045,0.33,0.23,154.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/13/2021,3,3.4,1897,1216045,0.25,0.28,156,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/29/2021,0,0.3,2030,1216045,0,0.02,166.93,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/01/2021,2,3.1,2101,1216045,0.16,0.26,172.77,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/13/2021,3,2.1,2061,1216045,0.25,0.18,169.48,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/09/2021,0,0.3,2033,1216045,0,0.02,167.18,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/01/2021,0,1,2007,1216045,0,0.08,165.04,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/02/2021,1,0.3,2031,1216045,0.08,0.02,167.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/18/2021,2,1.9,1983,1216045,0.16,0.15,163.07,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/15/2021,1,2.3,1979,1216045,0.08,0.19,162.74,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/16/2021,0,0.4,2036,1216045,0,0.04,167.43,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/27/2021,2,1.4,2082,1216045,0.16,0.12,171.21,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/13/2021,2,2.3,1977,1216045,0.16,0.19,162.58,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/03/2021,4,3.1,1868,1216045,0.33,0.26,153.61,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/07/2021,1,0.3,2032,1216045,0.08,0.02,167.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/27/2021,2,2.4,1931,1216045,0.16,0.2,158.79,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/22/2021,3,2.6,1997,1216045,0.25,0.21,164.22,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/23/2021,2,2.4,1922,1216045,0.16,0.2,158.05,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/21/2021,0,0.1,2037,1216045,0,0.01,167.51,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/06/2021,2,1.4,2014,1216045,0.16,0.12,165.62,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/09/2021,2,1.9,2021,1216045,0.16,0.15,166.19,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/13/2021,0,0.7,2036,1216045,0,0.06,167.43,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/15/2021,0,0.9,2025,1216045,0,0.07,166.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/15/2021,0,0.4,2036,1216045,0,0.04,167.43,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/07/2021,0,2.6,1961,1216045,0,0.21,161.26,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/02/2021,1,3.4,1951,1216045,0.08,0.28,160.44,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/30/2021,3,2.3,2091,1216045,0.25,0.19,171.95,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/12/2021,0,1.7,2024,1216045,0,0.14,166.44,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/03/2021,1,3.3,1952,1216045,0.08,0.27,160.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/04/2021,2,0.6,2043,1216045,0.16,0.05,168,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/03/2021,0,0.3,2031,1216045,0,0.02,167.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/24/2021,3,2.4,1925,1216045,0.25,0.2,158.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/28/2021,0,0.3,2039,1216045,0,0.02,167.67,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/20/2021,3,2.4,1914,1216045,0.25,0.2,157.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/02/2021,3,3.1,1864,1216045,0.25,0.26,153.28,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/24/2021,1,1.7,2076,1216045,0.08,0.14,170.72,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/19/2021,2,2.4,1911,1216045,0.16,0.2,157.15,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/01/2021,7,3.6,1950,1216045,0.58,0.29,160.36,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/04/2021,2,3.3,1954,1216045,0.16,0.27,160.68,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/04/2021,1,2.7,1869,1216045,0.08,0.22,153.69,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/26/2021,0,1.6,2000,1216045,0,0.13,164.47,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/04/2021,0,1,2010,1216045,0,0.08,165.29,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/01/2021,0,0.1,2040,1216045,0,0.01,167.76,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/26/2021,0,0.3,2029,1216045,0,0.02,166.85,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/12/2021,1,1.9,2058,1216045,0.08,0.15,169.24,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/11/2021,2,2.3,1970,1216045,0.16,0.19,162,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/22/2021,2,2.7,1920,1216045,0.16,0.22,157.89,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/24/2021,1,0.4,2039,1216045,0.08,0.04,167.67,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/08/2021,2,1.4,2050,1216045,0.16,0.12,168.58,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/19/2021,0,0,2036,1216045,0,0,167.43,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/05/2021,2,1.1,2012,1216045,0.16,0.09,165.45,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/23/2021,1,0.3,2038,1216045,0.08,0.02,167.59,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/26/2021,2,2.6,1929,1216045,0.16,0.21,158.63,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/18/2021,1,0.4,2027,1216045,0.08,0.04,166.69,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/14/2021,0,1.9,2061,1216045,0,0.15,169.48,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/19/2021,6,2,1989,1216045,0.49,0.16,163.56,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/17/2021,0,1.1,2064,1216045,0,0.09,169.73,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/03/2021,0,3.1,2104,1216045,0,0.26,173.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/06/2021,1,0.9,2046,1216045,0.08,0.07,168.25,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/03/2021,2,1.1,2010,1216045,0.16,0.09,165.29,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/15/2021,0,2.7,1901,1216045,0,0.22,156.33,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/14/2021,1,2.4,1978,1216045,0.08,0.2,162.66,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/02/2021,3,3.4,2104,1216045,0.25,0.28,173.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/02/2021,1,1.1,2008,1216045,0.08,0.09,165.13,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/17/2021,2,1.9,1981,1216045,0.16,0.15,162.91,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/31/2021,3,1,2007,1216045,0.25,0.08,165.04,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/18/2021,1,2.9,1909,1216045,0.08,0.23,156.98,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/29/2021,1,1,2004,1216045,0.08,0.08,164.8,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/20/2021,1,0.1,2037,1216045,0.08,0.01,167.51,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/09/2021,3,2.1,1966,1216045,0.25,0.18,161.67,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/12/2021,5,2.3,1975,1216045,0.41,0.19,162.41,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/16/2021,2,1.6,2064,1216045,0.16,0.13,169.73,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/12/2021,5,3.6,1894,1216045,0.41,0.29,155.75,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/25/2021,3,1.9,2079,1216045,0.25,0.15,170.96,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/10/2021,3,2.1,2056,1216045,0.25,0.18,169.07,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/07/2021,5,2.9,1878,1216045,0.41,0.23,154.44,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/17/2021,0,0.3,2036,1216045,0,0.02,167.43,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/19/2021,3,1.6,2069,1216045,0.25,0.13,170.14,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/06/2021,2,3.4,1961,1216045,0.16,0.28,161.26,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/20/2021,2,2,1991,1216045,0.16,0.16,163.73,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/05/2021,0,0.1,2031,1216045,0,0.01,167.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/21/2021,3,2.3,1994,1216045,0.25,0.19,163.97,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/11/2021,3,3.6,2133,1216045,0.25,0.29,175.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/29/2021,5,4.6,2201,1216045,0.41,0.38,181,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/08/2021,3,2.4,2118,1216045,0.25,0.2,174.17,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/10/2021,7,3.7,2130,1216045,0.58,0.31,175.16,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/27/2021,5,4.7,2192,1216045,0.41,0.39,180.26,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/21/2021,8,3.4,2167,1216045,0.66,0.28,178.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/10/2021,2,2.9,1888,1216045,0.16,0.23,155.26,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/28/2021,4,4.1,2196,1216045,0.33,0.34,180.59,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/07/2021,3,2.3,2115,1216045,0.25,0.19,173.92,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/26/2021,2,4.3,2187,1216045,0.16,0.35,179.85,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/18/2021,8,3.1,2155,1216045,0.66,0.26,177.21,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
